,0
0,2000-01-01
1,2000-01-03
2,2000-01-06
3,2000-01-07
4,2000-01-08
5,2000-01-12
6,2000-01-13
7,2000-01-14
8,2000-01-20
9,2000-01-21
10,2000-01-24
11,2000-01-25
12,2000-01-26
13,2000-01-28
14,2000-01-29
15,2000-01-30
16,2000-01-31
17,2000-02-01
18,2000-02-02
19,2000-02-03
20,2000-02-04
21,2000-02-05
22,2000-02-06
23,2000-02-07
24,2000-02-08
25,2000-02-09
26,2000-02-10
27,2000-02-11
28,2000-02-12
29,2000-02-14
30,2000-02-15
31,2000-02-17
32,2000-02-19
33,2000-02-20
34,2000-02-21
35,2000-02-22
36,2000-02-23
37,2000-02-24
38,2000-02-28
39,2000-02-29
40,2000-03-01
41,2000-03-05
42,2000-03-08
43,2000-03-19
44,2000-04-02
45,2000-04-07
46,2000-04-08
47,2000-04-09
48,2000-04-10
49,2000-04-11
50,2000-04-12
51,2000-04-13
52,2000-04-14
53,2000-04-15
54,2000-04-16
55,2000-04-17
56,2000-04-18
57,2000-04-19
58,2000-04-20
59,2000-04-21
60,2000-04-22
61,2000-04-23
62,2000-04-24
63,2000-04-25
64,2000-04-26
65,2000-04-27
66,2000-04-28
67,2000-04-29
68,2000-04-30
69,2000-05-01
70,2000-05-02
71,2000-05-03
72,2000-05-04
73,2000-05-05
74,2000-05-06
75,2000-05-07
76,2000-05-08
77,2000-05-09
78,2000-05-10
79,2000-05-11
80,2000-05-12
81,2000-05-13
82,2000-05-14
83,2000-05-15
84,2000-05-16
85,2000-05-17
86,2000-05-21
87,2000-05-22
88,2000-05-23
89,2000-05-24
90,2000-05-25
91,2000-05-26
92,2000-05-27
93,2000-05-28
94,2000-05-29
95,2000-05-30
96,2000-05-31
97,2000-06-04
98,2000-06-07
99,2000-06-08
100,2000-06-14
101,2000-06-19
102,2000-06-21
103,2000-06-22
104,2000-06-25
105,2000-06-28
106,2000-06-30
107,2000-07-01
108,2000-07-05
109,2000-07-07
110,2000-07-11
111,2000-07-23
112,2000-07-30
113,2000-08-14
114,2000-08-15
115,2000-08-16
116,2000-08-17
117,2000-08-18
118,2000-08-19
119,2000-08-20
120,2000-08-21
121,2000-08-22
122,2000-08-23
123,2000-09-17
124,2000-09-20
125,2000-09-23
126,2000-09-28
127,2000-10-01
128,2000-10-02
129,2000-10-03
130,2000-10-04
131,2000-10-05
132,2000-10-06
133,2000-10-07
134,2000-10-08
135,2000-10-29
136,2000-11-11
137,2000-11-17
138,2000-11-18
139,2000-11-19
140,2000-11-22
141,2000-11-26
142,2000-11-28
143,2000-12-06
144,2000-12-14
145,2000-12-15
146,2000-12-31
147,2001-01-05
148,2001-01-31
149,2001-02-21
150,2001-02-24
151,2001-03-24
152,2001-03-28
153,2001-04-01
154,2001-04-12
155,2001-04-15
156,2001-04-18
157,2001-04-19
158,2001-04-20
159,2001-04-21
160,2001-04-25
161,2001-04-28
162,2001-04-30
163,2001-06-01
164,2001-06-08
165,2001-06-15
166,2001-06-16
167,2001-06-17
168,2001-07-02
169,2001-07-06
170,2001-08-01
171,2001-08-18
172,2001-08-29
173,2001-09-05
174,2001-09-24
175,2001-09-25
176,2001-10-01
177,2001-10-18
178,2001-11-10
179,2001-11-23
180,2001-12-03
181,2002-01-04
182,2002-01-21
183,2002-01-27
184,2002-02-13
185,2002-02-15
186,2002-02-18
187,2002-02-24
188,2002-03-26
189,2002-06-11
190,2002-07-26
191,2002-07-28
192,2002-08-02
193,2002-08-21
194,2002-08-22
195,2002-08-30
196,2002-09-03
197,2002-09-06
198,2002-09-07
199,2002-09-09
200,2002-09-19
201,2002-09-24
202,2002-09-29
203,2002-10-03
204,2002-10-10
205,2002-10-18
206,2002-10-21
207,2002-10-24
208,2003-01-09
209,2003-01-10
210,2003-01-15
211,2003-01-16
212,2003-01-18
213,2003-01-27
214,2003-02-10
215,2003-02-28
216,2003-03-01
217,2003-03-05
218,2003-03-11
219,2003-04-13
220,2003-04-22
221,2003-05-01
222,2003-05-04
223,2003-05-07
224,2003-05-11
225,2003-05-20
226,2003-06-02
227,2003-06-03
228,2003-06-07
229,2003-06-08
230,2003-06-09
231,2003-06-11
232,2003-06-12
233,2003-06-14
234,2003-06-16
235,2003-06-17
236,2003-06-19
237,2003-06-26
238,2003-06-29
239,2003-07-03
240,2003-07-06
241,2003-07-07
242,2003-07-09
243,2003-07-11
244,2003-07-19
245,2003-07-20
246,2003-07-21
247,2003-07-22
248,2003-07-25
249,2003-07-28
250,2003-07-31
251,2003-08-12
252,2003-08-27
253,2003-09-01
254,2003-09-06
255,2003-09-07
256,2003-09-10
257,2003-09-11
258,2003-09-13
259,2003-09-26
260,2003-10-25
261,2003-10-27
262,2003-10-30
263,2003-10-31
264,2003-11-11
265,2003-11-12
266,2003-11-18
267,2003-11-21
268,2003-11-22
269,2003-11-30
270,2003-12-11
271,2004-01-19
272,2004-01-22
273,2004-01-29
274,2004-01-30
275,2004-02-01
276,2004-02-05
277,2004-02-07
278,2004-02-13
279,2004-02-17
280,2004-02-29
281,2004-03-09
282,2004-03-11
283,2004-03-13
284,2004-03-14
285,2004-03-16
286,2004-03-20
287,2004-03-24
288,2004-03-28
289,2004-03-29
290,2004-04-04
291,2004-04-13
292,2004-04-14
293,2004-04-16
294,2004-04-18
295,2004-04-19
296,2004-04-20
297,2004-04-22
298,2004-04-23
299,2004-04-24
300,2004-04-25
301,2004-05-02
302,2004-05-11
303,2004-05-15
304,2004-06-21
305,2004-07-01
306,2004-07-05
307,2004-07-09
308,2004-07-14
309,2004-07-15
310,2004-07-16
311,2004-07-20
312,2004-07-27
313,2004-07-28
314,2004-08-05
315,2004-08-11
316,2004-08-16
317,2004-08-20
318,2004-08-22
319,2004-09-03
320,2004-09-05
321,2004-09-09
322,2004-09-14
323,2004-09-29
324,2004-10-17
325,2004-10-28
326,2004-11-09
327,2004-11-17
328,2004-11-28
329,2004-12-20
330,2004-12-22
331,2004-12-30
332,2005-01-09
333,2005-01-30
334,2005-02-14
335,2005-03-18
336,2005-04-05
337,2005-04-26
338,2005-06-08
339,2005-07-07
340,2005-07-21
341,2005-07-26
342,2005-08-01
343,2005-08-12
344,2005-08-21
345,2005-08-28
346,2005-09-01
347,2005-09-06
348,2005-09-24
349,2005-10-02
350,2005-10-07
351,2005-10-08
352,2005-10-13
353,2005-10-23
354,2005-11-02
355,2005-11-03
356,2005-11-07
357,2005-11-08
358,2005-11-09
359,2005-11-12
360,2005-11-14
361,2005-11-16
362,2005-11-17
363,2005-11-21
364,2005-11-23
365,2005-12-15
366,2006-01-11
367,2006-01-12
368,2006-01-13
369,2006-01-14
370,2006-01-16
371,2006-01-18
372,2006-01-19
373,2006-01-30
374,2006-02-17
375,2006-02-27
376,2006-03-15
377,2006-03-20
378,2006-03-26
379,2006-04-08
380,2006-04-19
381,2006-04-21
